Harmonic,Period,Power,Relative Power
Main Harmonic,0.3442761985548683,0.00810381496569461,1.0
Harmonic 1,0.1718860882600751,0.00548212169587406,0.6764865336981649
Harmonic 2,0.11482804677288826,0.0022577754874466703,0.2786064954597772
Harmonic 3,0.08598994090414425,0.0020917272247743864,0.25811636045852093
Harmonic 4,0.07049344863677491,0.0014668734046629725,0.18101022924049956
Harmonic 4,0.06577287573939704,0.0016373057671514326,0.20204135633433637
Harmonic 4,0.06201417263089357,0.001509020369202756,0.18621110866805335
Harmonic 5,0.06201417263089357,0.001509020369202756,0.18621110866805335
Harmonic 5,0.0583059847641447,0.001420832751630422,0.1753288738261112
Harmonic 5,0.0553102240646259,0.0014574040956197457,0.17984172908553395
Harmonic 6,0.050934570725908415,0.0013690750067353727,0.16894203687164566
Harmonic 6,0.04738331584953142,0.0015377853305862505,0.18976066668551345
Harmonic 6,0.04544692134471482,0.001247349601889911,0.15392128363866162
Harmonic 7,0.04544692134471482,0.001247349601889911,0.15392128363866162
Harmonic 7,0.04143095669997755,0.0015508960480586618,0.19137851180264803
