TIC,gaiadr3_source_id,epic_id,per,Rebull_2016,Stauffer_2017,Stauffer_2018,Rebull_2018,Zhan_2019,Rebull_2020,Koen_2020,Stauffer_2021,Koen_2021,Guenther_2022,Rebull_2022,Koen_2022,Popinchalk_2023,Bouma_2024,Popinchalk_2024
59129133,3392549449695395968,246676629,0.6253,,,First CR determination,,,,,,,,,,,,
59091144,3392553852037339776,246682490,3.6324,,,First CR determination,,,,,,,,,,,,
118769116,3411342134934571520,247343526,0.3568,,,First CR determination,,,,,,,,,,,,
175594111,6045818685674325760,203354381,0.5993,,,First CR determination,Included in table,,,,,,,,,,,
322928171,6048612514663537280,203636498,0.7794,,,First CR determination,Included in table,,,,,,,,,,,
175743566,6049078741946841856,203821589,0.6677,,,First CR determination,Included in table,,,,,,,,,,,
98689067,6049136569386567296,203897692,0.6043,,,First CR determination,Included in table,,,,,,,,,,,
49072162,6049979104536677632,204060981,0.3996,,,First CR determination,Included in table,,,,,,,,,,,
203822419,6050952515921144192,204185983,1.0529,,,First CR determination,Included in table,,,,,,,,,,,
48908525,6242105876588253056,204099739,0.7428,,,First CR determination,Included in table,,,,,,,,,,,
49815071,6246044017998844160,205267399,0.3344,,,First CR determination,Included in table,,,,,,,,,,,
204792541,6044751575283331840,203050730,0.4865,,First CR determination,,Included in table,,,,,,,,,,,
205060766,6044838303564444544,203185083,0.44,,First CR determination,,Included in table,,,,,,,,,,,
68502886,6048717277503393792,203534383,0.2784,,First CR determination,,Included in table,,,,,,,,,,,
66750314,6235428336315960576,203462615,0.5201,,First CR determination,,Included in table,,,,,,,,,,,
12659333,6237069013821425408,204066898,0.3956,,First CR determination,,Included in table,,,,,,,,,,,
49072492,6242145626506129664,204117263,0.6423,,First CR determination,,Included in table,,,,,,,,,,,
49198167,6242649340270424704,204367193,0.4835,,First CR determination,,Included in table,,,,,,,,,,,
49518818,6245595108015533824,205110559,0.4031,,First CR determination,,Included in table,,,,,,,,,,,
220765024,6246944689821248128,204918279,0.4665,,First CR determination,,Included in table,,,,,,,,,,,
9669706,6247083125210430080,204897050,0.2639,,First CR determination,,Included in table,,,,,,,,Included in table,,,
280945693,5234117008292638464,,0.6363,,,,,,,,First CR determination,"Included in table, Mentioned in text or figure",,Included in table,,,,
296790810,5236296171620605824,,0.3713,,,,,,,,First CR determination,,,Included in table,,,,
290889135,5237270068366411392,,0.4835,,,,,,,,,,,First CR determination,,,,
301432612,5341919587915807616,,0.5044,,,,,,,,First CR determination,,,Included in table,,,,
93763678,5345273648130813696,,0.9156,,,,,,,,,,,First CR determination,,,,
448002486,5856059166484152320,,0.3593,,,,,,,,First CR determination,,,Included in table,,,,
328468855,5856567140866125440,,1.862,,,,,,,,,,,First CR determination,,,,
435899024,5861945711251717888,,0.3634,,,,,,,,First CR determination,,,Included in table,Included in table,,,
973449111,5868286560427916160,,0.621,,,,,,,,First CR determination,,,Included in table,,,,
309321971,5901773217829654912,,0.6314,,,,,,,,,,,First CR determination,,,,
254612758,5988925319818253696,,0.5939,,,,,,,,First CR determination,,,Included in table,,,,
364291454,5996407565146180992,,0.3495,,,,,,,,,,,First CR determination,,,,
147828926,5999293989334501888,,0.4973,,,,,,,,,,,First CR determination,,,,
176205621,6001888939853401728,,0.4258,,,,,,,,,,,First CR determination,,,,
276502773,6004379539837518080,,0.5553,,,,,,,,,,,First CR determination,,,,
99207324,6011565879115186816,,0.7912,,,,,,,,First CR determination,,,Included in table,,,,
310720311,6053706655144658688,,0.6651,,,,,,,,First CR determination,,,Included in table,,,,
405970436,6056701037640956288,,0.5772,,,,,,,,,,,First CR determination,,,,
406040223,6057147611155597440,,0.3242,,,,,,,,First CR determination,,,Included in table,,,,
207621404,6064353054428529152,,0.4514,,,,,,,,First CR determination,,,Included in table,,,,
405695928,6073671037505307904,,1.3392,,,,,,,,,,,First CR determination,,,,
273821594,6074279754632630272,,0.6642,,,,,,,,,,,First CR determination,,,,
419779703,6074797246644014720,,0.3689,,,,,,,,,,,First CR determination,,,,
398768350,6075429981240520704,,0.4899,,,,,,,,First CR determination,,,Included in table,,,,
288093002,6076050346312676608,,0.4315,,,,,,,,First CR determination,,,Included in table,,,,
161734785,6079297818307636096,,0.3487,,,,,,,,First CR determination,,,Included in table,,,,
165904363,6079467216120374784,,1.4963,,,,,,,,,,,First CR determination,,,,
404335106,6081131979803083136,,2.9329,,,,,,,,,,,First CR determination,,,,
404387832,6081508322019767296,,0.4423,,,,,,,,,,,First CR determination,,,,
328906141,6089133916200093696,,0.463,,,,,,,,First CR determination,,,Included in table,,,,
329694185,6089460471148907008,,0.2726,,,,,,,,,,,First CR determination,,,,
330560000,6089681782226103680,,1.3899,,,,,,,,First CR determination,,,Included in table,,,,
211513644,6091694403899673728,,0.6336,,,,,,,,First CR determination,,,Included in table,,,,
242407571,6095898695842130048,,0.4722,,,,,,,,First CR determination,,,Included in table,,,,
127866051,6097896886430083712,,0.7988,,,,,,,,,,,First CR determination,,,,
127246012,6099073363870236800,,0.4274,,,,,,,,,,,First CR determination,,,,
129309458,6100482559819865856,,0.5533,,,,,,,,,,,First CR determination,,,,
127309526,6102553352528751104,,0.217,,,,,,,,First CR determination,,,Included in table,,,,
241884143,6103443682068685696,,0.2695,,,,,,,,,,,First CR determination,,,,
243499565,6106993554140699520,,1.1947,,,,,,,,First CR determination,,,Included in table,,,,
243449997,6107289533226214400,,0.3827,,,,,,,,,,,First CR determination,,,,
243611773,6108669214161311616,,0.349,,,,,,,,First CR determination,,,Included in table,,,,
243381460,6111548074901230080,,0.3684,,,,,,,,First CR determination,,,Included in table,Included in table,,,
179367270,6117102949382766976,,2.6435,,,,,,,,,,,First CR determination,,,,
248145126,6135268015342940928,,0.3504,,,,,,,,First CR determination,,,Included in table,,,,
135162879,6148164290302297600,,0.3775,,,,,,,,First CR determination,,,Included in table,,,,
121840452,6197960106773771776,,0.3785,,,,,,,,First CR determination,,,Included in table,Included in table,,,
