Sector,Orbit,Start Time,End Time,,
1,9,7/25/18 19:29,8/8/18 0:29,,
1,10,8/9/18 3:59,8/22/18 15:59,,
2,11,8/23/18 14:29,9/5/18 15:29,,
2,12,9/7/18 2:29,9/19/18 23:59,,
3,13,9/20/18 4:59,9/21/18 0:29,,
3,13,9/21/18 2:29,9/22/18 2:59,,
3,13,9/22/18 3:59,9/22/18 18:29,,
3,13,9/22/18 19:29,9/24/18 8:59,,
3,13,9/24/18 10:29,10/3/18 22:29,,
3,13,10/4/18 1:59,10/4/18 22:59,,
3,13,10/4/18 23:59,10/5/18 1:29,,
3,14,10/5/18 3:29,10/17/18 20:59,,
4,15,10/19/18 9:59,10/21/18 17:59,,
4,15,10/21/18 18:29,10/26/18 23:29,,
4,15,10/29/18 17:29,10/31/18 23:59,,
4,16,11/2/18 1:29,11/14/18 7:59,,
5,17,11/15/18 11:29,11/27/18 16:29,,
5,18,11/29/18 1:29,12/11/18 18:29,,
6,19,12/15/18 18:29,12/24/18 12:29,,
6,20,12/25/18 14:29,1/6/19 12:59,,
7,21,1/8/19 2:59,1/19/19 12:29,,
7,22,1/21/19 4:59,2/1/19 13:59,,
8,23,2/2/19 20:29,2/14/19 13:29,,
8,24,2/15/19 18:29,2/17/19 5:29,,
8,24,2/20/19 11:59,2/27/19 11:59,,
9,25,2/28/19 17:29,3/13/19 0:59,,
9,26,3/14/19 5:29,3/25/19 22:59,,
10,27,3/26/19 22:29,4/8/19 6:29,,
10,28,4/9/19 6:29,4/22/19 3:59,,
11,29,4/23/19 6:29,5/6/19 4:29,,
11,30,5/7/19 6:59,5/20/19 8:59,,
12,31,5/21/19 10:59,6/4/19 11:29,,
12,32,6/5/19 12:59,6/18/19 8:59,,
13,33,6/19/19 9:59,7/3/19 4:29,,
13,34,7/4/19 2:59,7/17/19 20:29,,
14,35,7/18/19 20:29,7/31/19 20:59,,
14,36,8/1/19 20:29,8/14/19 16:29,,
15,37,8/15/19 20:59,8/28/19 8:29,,
15,38,8/29/19 10:29,9/10/19 21:29,,
16,39,9/12/19 3:29,9/23/19 20:29,,
16,40,9/25/19 3:59,10/6/19 19:29,,
17,41,10/8/19 4:29,10/19/19 18:59,,
17,42,10/21/19 5:29,11/1/19 15:59,,
17,42,11/1/19 16:29,11/2/19 4:29,,
18,43,11/3/19 3:59,11/3/19 14:29,,
18,43,11/3/19 20:59,11/14/19 22:29,,
18,44,11/15/19 22:59,11/27/19 12:29,,
