TIC,TIC dupe,gaiadr3_source_id,gaia dupe,epic_id,epic dupe,per,Rebull_2016,Stauffer_2017,Stauffer_2018,Rebull_2018,Zhan_2019,Rebull_2020,Koen_2020,Stauffer_2021,Koen_2021,Guenther_2022,Rebull_2022,Koen_2022,Popinchalk_2023,Bouma_2024,Popinchalk_2024
59129133.0,False,3.392549449695396e+18,False,246676629.0,False,0.6253,,,First CR determination,,,,,,,,,,,,
59091144.0,False,3.3925538520373396e+18,False,246682490.0,False,3.6324,,,First CR determination,,,,,,,,,,,,
118769116.0,False,3.4113421349345715e+18,False,247343526.0,False,0.3568,,,First CR determination,,,,,,,,,,,,
175594111.0,False,6.045818685674326e+18,False,203354381.0,False,0.5993,,,First CR determination,Included in table,,,,,,,,,,,
322928171.0,False,6.048612514663538e+18,False,203636498.0,False,0.7794,,,First CR determination,Included in table,,,,,,,,,,,
175743566.0,False,6.049078741946842e+18,False,203821589.0,False,0.6677,,,First CR determination,Included in table,,,,,,,,,,,
98689067.0,False,6.049136569386568e+18,False,203897692.0,False,0.6043,,,First CR determination,Included in table,,,,,,,,,,,
49072162.0,False,6.049979104536677e+18,False,204060981.0,False,0.3996,,,First CR determination,Included in table,,,,,,,,,,,
203822419.0,False,6.050952515921144e+18,False,204185983.0,False,1.0529,,,First CR determination,Included in table,,,,,,,,,,,
48908525.0,False,6.242105876588253e+18,False,204099739.0,False,0.7428,,,First CR determination,Included in table,,,,,,,,,,,
49815071.0,False,6.246044017998844e+18,False,205267399.0,False,0.3344,,,First CR determination,Included in table,,,,,,,,,,,
204792541.0,False,6.044751575283332e+18,False,203050730.0,False,0.4865,,First CR determination,,Included in table,,,,,,,,,,,
205060766.0,False,6.044838303564445e+18,False,203185083.0,False,0.44,,First CR determination,,Included in table,,,,,,,,,,,
68502886.0,False,6.048717277503394e+18,False,203534383.0,False,0.2784,,First CR determination,,Included in table,,,,,,,,,,,
66750314.0,False,6.23542833631596e+18,False,203462615.0,False,0.5201,,First CR determination,,Included in table,,,,,,,,,,,
12659333.0,False,6.237069013821426e+18,False,204066898.0,False,0.3956,,First CR determination,,Included in table,,,,,,,,,,,
49072492.0,False,6.242145626506129e+18,False,204117263.0,False,0.6423,,First CR determination,,Included in table,,,,,,,,,,,
49198167.0,False,6.242649340270425e+18,False,204367193.0,False,0.4835,,First CR determination,,Included in table,,,,,,,,,,,
49518818.0,False,6.245595108015534e+18,False,205110559.0,False,0.4031,,First CR determination,,Included in table,,,,,,,,,,,
220765024.0,False,6.246944689821249e+18,False,204918279.0,False,0.4665,,First CR determination,,Included in table,,,,,,,,,,,
9669706.0,False,6.24708312521043e+18,False,204897050.0,False,0.2639,,First CR determination,,Included in table,,,,,,,,Included in table,,,
280945693.0,False,5.234117008292639e+18,False,,False,0.6363,,,,,,,,First CR determination,"Included in table, Mentioned in text or figure",,Included in table,,,,
296790810.0,False,5.236296171620606e+18,False,,True,0.3713,,,,,,,,First CR determination,,,Included in table,,,,
290889135.0,False,5.237270068366412e+18,False,,True,0.4835,,,,,,,,,,,First CR determination,,,,
301432612.0,False,5.341919587915808e+18,False,,True,0.5044,,,,,,,,First CR determination,,,Included in table,,,,
93763678.0,False,5.345273648130814e+18,False,,True,0.9156,,,,,,,,,,,First CR determination,,,,
448002486.0,False,5.856059166484152e+18,False,,True,0.3593,,,,,,,,First CR determination,,,Included in table,,,,
328468855.0,False,5.856567140866126e+18,False,,True,1.862,,,,,,,,,,,First CR determination,,,,
435899024.0,False,5.861945711251718e+18,False,,True,0.3634,,,,,,,,First CR determination,,,Included in table,Included in table,,,
973449111.0,False,5.868286560427916e+18,False,,True,0.621,,,,,,,,First CR determination,,,Included in table,,,,
309321971.0,False,5.901773217829655e+18,False,,True,0.6314,,,,,,,,,,,First CR determination,,,,
254612758.0,False,5.988925319818253e+18,False,,True,0.5939,,,,,,,,First CR determination,,,Included in table,,,,
364291454.0,False,5.996407565146181e+18,False,,True,0.3495,,,,,,,,,,,First CR determination,,,,
147828926.0,False,5.999293989334501e+18,False,,True,0.4973,,,,,,,,,,,First CR determination,,,,
176205621.0,False,6.001888939853402e+18,False,,True,0.4258,,,,,,,,,,,First CR determination,,,,
276502773.0,False,6.004379539837518e+18,False,,True,0.5553,,,,,,,,,,,First CR determination,,,,
99207324.0,False,6.011565879115187e+18,False,,True,0.7912,,,,,,,,First CR determination,,,Included in table,,,,
310720311.0,False,6.053706655144659e+18,False,,True,0.6651,,,,,,,,First CR determination,,,Included in table,,,,
405970436.0,False,6.056701037640956e+18,False,,True,0.5772,,,,,,,,,,,First CR determination,,,,
406040223.0,False,6.057147611155597e+18,False,,True,0.3242,,,,,,,,First CR determination,,,Included in table,,,,
207621404.0,False,6.064353054428529e+18,False,,True,0.4514,,,,,,,,First CR determination,,,Included in table,,,,
405695928.0,False,6.073671037505308e+18,False,,True,1.3392,,,,,,,,,,,First CR determination,,,,
273821594.0,False,6.07427975463263e+18,False,,True,0.6642,,,,,,,,,,,First CR determination,,,,
419779703.0,False,6.074797246644015e+18,False,,True,0.3689,,,,,,,,,,,First CR determination,,,,
398768350.0,False,6.075429981240521e+18,False,,True,0.4899,,,,,,,,First CR determination,,,Included in table,,,,
288093002.0,False,6.076050346312676e+18,False,,True,0.4315,,,,,,,,First CR determination,,,Included in table,,,,
161734785.0,False,6.079297818307636e+18,False,,True,0.3487,,,,,,,,First CR determination,,,Included in table,,,,
165904363.0,False,6.079467216120375e+18,False,,True,1.4963,,,,,,,,,,,First CR determination,,,,
404335106.0,False,6.081131979803083e+18,False,,True,2.9329,,,,,,,,,,,First CR determination,,,,
404387832.0,False,6.081508322019767e+18,False,,True,0.4423,,,,,,,,,,,First CR determination,,,,
328906141.0,False,6.089133916200094e+18,False,,True,0.463,,,,,,,,First CR determination,,,Included in table,,,,
329694185.0,False,6.089460471148906e+18,False,,True,0.2726,,,,,,,,,,,First CR determination,,,,
330560000.0,False,6.089681782226103e+18,False,,True,1.3899,,,,,,,,First CR determination,,,Included in table,,,,
