idtable_oid,pop_id,TIC,gaiadr3_source_id,epic_id,per,ra,dec,parallax,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_variable_flag
1,0,59129133,3392549449695395968,246676629,0.6253,74.86843172888425,14.2732197353785,6.345331597315533,7.779637,14.047401,15.675541,12.795047,2.880494,1.6281395,1.2523546,VARIABLE
2,1,59091144,3392553852037339776,246682490,3.6324,74.76961528990552,14.348870808621461,6.059355898783959,2.98668,13.905177,14.838735,12.1542,2.684535,0.9335575,1.7509775,NOT_AVAILABLE
3,2,118769116,3411342134934571520,247343526,0.3568,70.22261543166712,20.9295690834417,8.377846902940108,1.1280006,16.093126,18.312695,14.713364,3.599331,2.2195683,1.3797626,NOT_AVAILABLE
4,3,175594111,6045818685674325760,203354381,0.5993,246.61604560736302,-26.420999102130278,7.047532337875181,2.3595994,14.057186,15.727642,12.800911,2.926731,1.6704559,1.2562752,VARIABLE
5,4,322928171,6048612514663537280,203636498,0.7794,245.27122216313722,-25.46188783535301,7.4629067962458,1.1250278,15.438386,17.571142,14.08409,3.487052,2.1327562,1.3542957,VARIABLE
6,5,175743566,6049078741946841856,203821589,0.6677,246.99979162613235,-24.80547888953024,7.38199051014557,1.0501082,14.982268,17.585695,13.556195,4.0295,2.603427,1.4260731,VARIABLE
7,6,98689067,6049136569386567296,203897692,0.6043,246.4837074578255,-24.504261539607842,7.410937464131802,0.98846084,16.120829,19.288797,14.606515,4.6822824,3.1679688,1.5143137,VARIABLE
8,7,49072162,6049979104536677632,204060981,0.3996,242.734073619829,-23.82481988484815,7.173886976291808,1.5090948,13.695468,15.418224,12.433225,2.9849997,1.7227564,1.2622433,VARIABLE
9,8,203822419,6050952515921144192,204185983,1.0529,246.4701052703044,-23.326863062346664,,,12.7641535,14.033722,11.336014,2.6977081,1.2695684,1.4281397,NOT_AVAILABLE
10,9,48908525,6242105876588253056,204099739,0.7428,242.16282292033966,-23.66834039136272,7.079736385787456,2.6888916,13.096745,14.54827,11.912368,2.6359024,1.4515257,1.1843767,VARIABLE
11,10,49815071,6246044017998844160,205267399,0.3344,244.67446384790134,-18.54452635779301,8.834005064056253,1.5612949,14.171144,15.969456,12.888858,3.0805979,1.7983122,1.2822857,VARIABLE
12,11,204792541,6044751575283331840,203050730,0.4865,247.77409823576662,-27.4295835253529,6.8059216407903484,1.7696596,14.679148,16.473978,13.395591,3.0783873,1.7948303,1.2835569,VARIABLE
13,12,205060766,6044838303564444544,203185083,0.44,248.64637401645888,-26.967609476753427,6.1657597300040345,1.2446789,14.942842,16.84877,13.6316,3.2171698,1.9059286,1.3112411,VARIABLE
14,13,68502886,6048717277503393792,203534383,0.2784,243.51240762212066,-25.814878535154072,6.485630660280696,1.06201,16.52324,18.909864,15.1110115,3.798853,2.3866253,1.4122276,VARIABLE
15,14,66750314,6235428336315960576,203462615,0.5201,239.90856452778758,-26.05661856069296,7.405387165317243,1.3973713,14.526533,16.515575,13.206615,3.30896,1.9890423,1.3199177,VARIABLE
16,15,12659333,6237069013821425408,204066898,0.3956,239.650836555846,-23.800667000452663,8.085595878833814,1.502884,14.224256,15.921597,12.972339,2.9492579,1.697341,1.2519169,VARIABLE
17,16,49072492,6242145626506129664,204117263,0.6423,242.75877100180963,-23.597485617047663,7.296864835336202,1.1669052,15.320228,17.319525,13.995404,3.3241205,1.9992971,1.3248234,VARIABLE
18,17,49198167,6242649340270424704,204367193,0.4835,242.97660775564654,-22.613757580453104,7.012483485327592,1.0160235,18.291615,20.962223,16.83326,4.1289635,2.6706085,1.458355,VARIABLE
19,18,49518818,6245595108015533824,205110559,0.4031,243.83204735351126,-19.352129420164463,7.335849952155242,1.178794,15.295799,17.489756,13.934652,3.5551033,2.1939564,1.3611469,VARIABLE
20,19,220765024,6246944689821248128,204918279,0.4665,239.10456230171408,-20.27118593014593,,,14.801647,16.495752,13.031375,3.4643774,1.6941051,1.7702723,VARIABLE
21,20,9669706,6247083125210430080,204897050,0.2639,240.42069502396566,-20.369017437115822,7.173073135794243,1.2985101,15.615209,17.888346,14.228607,3.6597385,2.273137,1.3866014,VARIABLE
22,21,280945693,5234117008292638464,,0.6363,174.06969017573073,-69.46431784503775,10.156959469695385,1.1615247,13.450549,15.158709,12.192395,2.9663134,1.7081594,1.2581539,NOT_AVAILABLE
23,22,296790810,5236296171620605824,,0.3713,176.60696561645332,-66.69314473735476,9.419080726392945,1.9867646,13.7255125,15.53353,12.439406,3.0941238,1.8080177,1.2861061,NOT_AVAILABLE
24,23,290889135,5237270068366411392,,0.4835,173.9842259277706,-65.5033821431924,9.581122377658312,8.890847,12.785272,14.150479,11.621348,2.529131,1.3652077,1.1639233,NOT_AVAILABLE
25,24,301432612,5341919587915807616,,0.5044,178.51962164382067,-58.044739411999544,9.2546965186246,1.143178,13.850112,15.372915,12.6421585,2.7307568,1.5228033,1.2079535,NOT_AVAILABLE
26,25,93763678,5345273648130813696,,0.9156,175.84339418088027,-53.45319140117892,8.812782659413871,1.0756918,15.416855,17.25473,14.125443,3.1292868,1.8378754,1.2914114,NOT_AVAILABLE
27,26,448002486,5856059166484152320,,0.3593,185.4085341847625,-69.14392916422017,9.0679266761811,1.2200902,14.7112665,16.582499,13.406285,3.1762133,1.871232,1.3049812,NOT_AVAILABLE
28,27,328468855,5856567140866125440,,1.862,190.75677383761345,-67.9390472702317,9.562086656386445,1.0962032,13.481029,14.906748,12.306578,2.6001701,1.4257193,1.1744509,NOT_AVAILABLE
29,28,435899024,5861945711251717888,,0.3634,193.09477601636178,-64.31086838797087,9.798781260000661,1.1421024,14.023056,15.764442,12.757568,3.006874,1.7413864,1.2654877,NOT_AVAILABLE
30,29,973449111,5868286560427916160,,0.621,199.89959329837058,-62.57685943306821,9.471389994106259,1.2761948,13.907976,15.351401,12.6958065,2.6555948,1.4434252,1.2121696,NOT_AVAILABLE
31,30,309321971,5901773217829654912,,0.6314,223.90749410572704,-49.574334010620525,7.131229723971337,4.482576,14.123182,15.606538,12.932131,2.674407,1.4833555,1.1910515,VARIABLE
32,31,254612758,5988925319818253696,,0.5939,236.28465134424192,-44.43549167038747,5.9699993029594625,1.5623534,13.801726,15.309628,12.601469,2.7081585,1.5079012,1.2002573,VARIABLE
33,32,364291454,5996407565146180992,,0.3495,239.0293761820178,-40.01003574230083,8.304323846516889,1.293086,14.579547,16.381493,13.296107,3.0853853,1.8019457,1.2834396,NOT_AVAILABLE
