moca_oid,moca_aid,moca_mtid,designation,dr3_ruwe,plx,eplx,gmag,egmag,rmag,ermag,bmag,ebmag,ncompanions,nparents,dmod,edmod,ra_hms,dec_dms,ra,dec,hip_ra,hip_dec,tm_ra,tm_dec,g1_ra,g1_dec,g2_ra,g2_dec,g3_ra,g3_dec,astrometric_excess_noise,gaia_n_neighbors,nearest_gaia,ebv,eebv,jmag,ejmag,hmag,ehmag,kmag,ekmag,w1mag,w2mag,w3mag,w4mag,ew1mag,ew2mag,ew3mag,ew4mag,aw_ra,aw_dec,ww_ra,ww_dec,fuvmag,efuvmag,nuvmag,enuvmag,galex_ra,galex_dec,fx,efx,hr1,hr2,xray_count,xray_ecount,rosat_name,fe_h,e_fe_h,alpha_fe,galah_logg,galah_elogg,logg,elogg,spt,sptn,esptn,spectral_class,spt_quality,luminosity_class,gravity_class,spt_suffix,simple_spt,complete_spt,pmra,pmdec,epmra,epmdec,rv,erv,sigrv,ervmean,rv_nmes,rv_grav_red,erv_grav_red,rv_conv_blue,erv_conv_blue,rv_red_tot,erv_red,teff,eteff,mass,emass,radius,eradius,vsini,evsini,prot_days,eprot_days,prot_amp,eprot_amp,ewli,eewli,ewli_lowres,eewli_lowres,ewha,eewha,gaia_act,gaia_act_unc,bs_prob,bs_ya,bs_all_ya,bs_dopt,bs_edopt,bs_rvopt,bs_ervopt,bs_xyz_sep,bs_uvw_sep,bs_xyz_sig,bs_uvw_sig,bs_mahalanobis,bs_new_prob,bs_new_ya,bs_new_all_ya,bs_new_dopt,bs_new_edopt,bs_new_rvopt,bs_new_ervopt,bs_new_xyz_sep,bs_new_uvw_sep,bs_new_xyz_sig,bs_new_uvw_sig,bs_new_mahalanobis,plx_ref,pm_ref,spt_ref,plx_mission,plx_dr,inclination,inclination_eneg,inclination_epos,predicted_v,epredicted_v,predicted_v_eneg,predicted_v_epos,bs_observables,logrhk,exoplanet_names,exoplanet_discovery_methods,age,eage,asso_average_dist,age_pid,association_nature,asso_is_real,asso_nchildren,asso_in_banyan,asso_in_banyan_2020,asso_suboptimal_grouping,asso_coeval,x,y,z,ex,ey,ez,u,v,w,eu,ev,ew,simbad_id,tmass_designation,allwise_designation,gaiadr2_source_id,gaiadr3_source_id,all_designations,designation_url,mtid_level
350,OCT,CM,2MASS J00250593-6237070,1.14671,11.936100006103516,0.028459500521421432,15.285,0.03007,14.01144,0.02574,17.07748,0.04542,null,null,null,null,00:25:05.999,-62:37:06.79,6.2749972309218816,-62.61855335362171,null,null,6.274729,-62.618622,null,null,6.274987423244168,-62.618555947268405,6.2749972309218816,-62.61855335362171,0.141978,0,null,0.002,0.015,null,null,null,null,null,null,11.139,10.948,null,null,0.022,0.021,null,null,6.2748852,-62.6185726,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M5.7),5.6788,0.46696,M,E,null,null,null,(M5.7),(M5.7),32.415401458740234,18.635700225830078,0.032550398260354996,0.030199000611901283,50.5805,5.45891,5.454662799835205,5.454662799835205,15,0.22,0.06,0,0.2,0.2199999988079071,0.20880613264739226,3078,308,0.2486,0.1621,0.5238,0.13,null,null,0.7586,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,350,gaiadr3,null,Gaia,DR3,null,null,null,40.7,11.7,10.1,13.3,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,30.2143,-38.5197,-67.9891,0.0712,0.0907,0.1601,4.545,-24.253,-46.728,1.97,2.512,4.433,Gaia EDR3 4901711454686667008,00250593-6237070,J002505.97-623706.8,4901711454686667008,4901711454686667008,Gaia EDR3 4901711454686667008|Gaia DR2 4901711454686667008,2MASS J00250593-6237070,3
535,OCT,CM,2MASS J01203685-6241395,1.10352,14.515899658203125,0.028060300275683403,15.49296,0.02922,14.16776,0.02559,17.46887,0.04532,null,null,null,null,01:20:36.928,-62:41:38.83,20.153865926927406,-62.69411808651815,null,null,20.153546,-62.694328,null,null,20.15385570119361,-62.6941239013236,20.153865926927406,-62.69411808651815,0.13211,0,null,0.002,0.015,null,null,null,null,null,null,11.148,10.922,null,null,0.023,0.02,null,null,20.1537435,-62.6941824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M6.0),6.0047,0.0684033,M,E,null,null,null,(M6.0),(M6.0),33.45989990234375,41.929100036621094,0.03556879982352257,0.03161320090293884,null,null,null,null,null,0.19,0.05,0,0.2,0.1899999976158142,0.20615528435283612,2883,260,0.1623,0.1252,0.452,0.1442,null,null,0.2949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,535,gaiadr3,null,Gaia,DR3,null,null,null,93.6,30.9,25.5,36.2,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,18.479,-35.91,-55.811,0.0355,0.0689,0.1071,null,null,null,null,null,null,Gaia EDR3 4715353682706569728,01203685-6241395,J012036.89-624139.0,4715353682706569728,4715353682706569728,Gaia EDR3 4715353682706569728|Gaia DR2 4715353682706569728,2MASS J01203685-6241395,3
1136,OCT,HM,2MASS J03302115-6412207,1.18576,8.180839538574219,0.021785199642181396,15.17068,0.03047,13.93534,0.02599,16.79219,0.04543,null,null,null,null,03:30:21.184,-64:12:20.32,52.5882679267518,-64.20564333505294,null,null,52.588127,-64.205765,52.5882624942623,-64.20564921692943,52.58826491842225,-64.20564640907544,52.5882679267518,-64.20564333505294,0.121407,1,24.153721312324436,0.003,0.015,null,null,null,null,null,null,11.184,11.003,null,null,0.023,0.021,null,null,52.5882498,-64.2056756,null,null,null,null,null,null,52.588025082943,-64.205523019542,null,null,null,null,null,null,null,null,null,null,null,null,null,null,M4,4,0.5,M,B,null,null,null,M4,M4,9.424079895019531,22.077600479125977,0.02899309992790222,0.027072299271821976,4.38578,3.82177,2,3.2491474008422054,32,0.4,0.08,-0.01,0.21,0.3900000061839819,0.22472204377889402,3157,157,0.3075,0.0762,0.5458,0.0808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1136,gaiadr3,Murp15,Gaia,DR3,null,null,null,null,null,null,null,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,14.5752,-85.0391,-86.5937,0.0388,0.2262,0.2303,-13.192,-3.256,-5.482,0.457,2.66,2.709,2MASS J03302115-6412207,03302115-6412207,J033021.17-641220.4,4673692706094574720,4673692706094574720,Gaia EDR3 4673692706094574720|TIC 262874398|2MASS J03302115-6412207|Gaia DR2 4673692706094574720,2MASS J03302115-6412207,4
1357,OCT,CM,2MASS J03401222-5207100,1.2975,12.965399742126465,0.015898799523711205,14.01087,0.0294,12.81291,0.02492,15.54849,0.04331,null,null,null,null,03:40:12.240,-52:07:09.36,55.05099826564632,-52.11926799416087,null,null,55.050947,-52.119446,null,null,55.05099801117599,-52.119273583893424,55.05099826564632,-52.11926799416087,0.106352,1,17.765809006414777,0.001,0.014,null,null,null,null,null,null,10.128,9.966,null,null,0.023,0.02,null,null,55.0510038,-52.1193361,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M3.3),3.27948,1.1729,M,E,null,null,null,(M3.3),(M3.3),0.8951550126075745,40.128700256347656,0.01836879923939705,0.02017430029809475,14.7825,3.83747,3.830666780471802,3.830666780471802,19,0.47,0.12,-0.01,0.21,0.4599999990314245,0.2418677254255625,3306,224,0.4233,0.1938,0.6188,0.1279,null,null,1.2805,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1357,gaiadr3,null,Gaia,DR3,null,null,null,27.8,7.2,6.3,8.1,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,-5.9393,-49.3365,-58.9868,0.0072,0.0597,0.0713,-14.317,-3.935,-14.703,0.297,2.462,2.944,Gaia EDR3 4733231157659118464,03401222-5207100,J034012.24-520709.6,4733231157659118464,4733231157659118464,Gaia EDR3 4733231157659118464|Gaia DR2 4733231157659118464,2MASS J03401222-5207100,3
2880,OCT,CM,2MASS J04072794-5043539,1.46159,9.95199966430664,0.05076019838452339,15.98386,0.02742,14.66727,0.02387,17.94619,0.0442,null,null,null,null,04:07:27.941,-50:43:53.51,61.866419496004035,-50.731529268637054,null,null,61.866431,-50.731647,null,null,61.866419508815405,-50.731533203887935,61.866419496004035,-50.731529268637054,0.416369,0,null,0.001,0.014,null,null,null,null,null,null,11.674,11.451,null,null,0.023,0.021,null,null,61.866412,-50.7315761,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M6.0),5.9999,0.00999967,M,E,null,null,null,(M6.0),(M6.0),0.13172699511051178,28.548200607299805,0.05926720052957535,0.06519349664449692,null,null,null,null,null,0.19,0.05,0,0.2,0.1899999976158142,0.20615528435283612,2918,269,0.1753,0.1286,0.4662,0.1429,null,null,0.6465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2880,gaiadr3,null,Gaia,DR3,null,null,null,43.4,14.2,12.1,16.3,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,-12.9958,-68.2447,-72.6071,0.0665,0.3493,0.3716,null,null,null,null,null,null,Gaia EDR3 4830136546254312576,04072794-5043539,J040727.93-504353.6,4830136546254312576,4830136546254312576,Gaia EDR3 4830136546254312576|Gaia DR2 4830136546254312576,2MASS J04072794-5043539,3
2905,OCT,HM,2MASS J04085395-7203535,null,null,null,14.05821,0.00851,12.50765,0.00434,15.34095,0.0051,null,null,null,null,04:08:53.964,-72:03:52.94,62.22484923692996,-72.0647062591783,null,null,62.224799,-72.064873,62.22485694188661,-72.06472639550549,62.22484572521754,-72.06471101023745,62.22484923692996,-72.0647062591783,12.4025,3,6.451717863177264,null,null,null,null,null,null,null,null,9.771,9.59,null,null,0.023,0.02,null,null,62.22478,-72.0647531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,M3.5,3.5,0.5,M,B,null,null,null,M3.5,M3.5,-3.9200000762939453,38.709999084472656,1.6299999952316284,1.649999976158142,9.3,2.01221,2,2,1,0.46,0.08,-0.01,0.21,0.4500000085681677,0.22472204377889402,3261,141,0.3615,0.091,0.5967,0.0894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Gira11,Murp15,null,null,null,null,null,null,null,null,null,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,null,null,null,null,null,null,null,null,null,null,null,null,2MASS J04085395-7203535,04085395-7203535,J040853.94-720353.1,4653742647428614400,4653742651724109952,Gaia EDR3 4653742651724109952|TIC 33736757|2MASS J04085395-7203535|Gaia DR2 4653742647428614400,2MASS J04085395-7203535,4
2935,OCT,CM,2MASS J04113315-4044231,1.08276,10.700599670410156,0.02780039981007576,15.59949,0.02793,14.31574,0.02404,17.41108,0.04295,null,null,null,null,04:11:33.165,-40:44:22.57,62.88818569604893,-40.73960141066768,null,null,62.888148,-40.739765,null,null,62.8881857132065,-40.73960522070644,62.88818569604893,-40.73960141066768,0.118801,8,2.8092474975359325,0.001,0.014,null,null,null,null,null,null,11.052,10.827,10.619,8.93,0.023,0.02,0.061,null,62.8880099,-40.7398049,62.8879971,-40.7398137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M6.9),6.8748,0.372736,M,E,null,null,null,(M6.9),(M6.9),0.10630399733781815,27.409299850463867,0.027387600392103195,0.03380800038576126,null,null,null,null,null,0.14,0.05,0,0.2,0.14000000059604645,0.20615528435283612,3036,301,0.2288,0.1504,0.5124,0.1318,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2935,gaiadr3,null,Gaia,DR3,null,null,null,null,null,null,null,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,-27.312,-57.6494,-68.2925,0.0712,0.1503,0.1781,null,null,null,null,null,null,2MASS J04113315-4044231,04113315-4044231,J041133.12-404423.2,4840770472961988608,4840770472961988608,WISEA J041133.12-404423.2|TIC 257605749|2MASS J04113315-4044231|WISE J041133.11-404423.3,2MASS J04113315-4044231,3
2967,OCT,CM,2MASS J04140126-7025236,1.07126,10.351400375366211,0.020253300666809082,15.08156,0.03074,13.84586,0.02598,16.72824,0.04568,null,null,null,null,04:14:01.260,-70:25:23.07,63.505250900570196,-70.42307410759699,null,null,63.505267,-70.423248,null,null,63.50525146350671,-70.42307885010064,63.505250900570196,-70.42307410759699,0.0533094,1,22.45487922836728,0.002,0.015,null,null,null,null,null,null,11.096,10.909,null,null,0.022,0.021,null,null,63.5052293,-70.4231229,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M3.8),3.79313,1.18332,M,E,null,null,null,(M3.8),(M3.8),-1.1215399503707886,33.830299377441406,0.03064350038766861,0.031288400292396545,null,null,null,null,null,0.43,0.13,-0.01,0.21,0.4200000073760748,0.24698177261994228,3200,274,0.3294,0.2154,0.5705,0.1252,null,null,0.8553,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2967,gaiadr3,null,Gaia,DR3,null,null,null,39,10.6,9.1,12,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,17.9434,-73.7435,-59.7729,0.0351,0.1444,0.117,null,null,null,null,null,null,Gaia EDR3 4654322231790939776,04140126-7025236,J041401.25-702523.2,4654322231790939776,4654322231790939776,Gaia EDR3 4654322231790939776|Gaia DR2 4654322231790939776,2MASS J04140126-7025236,3
3411,OCT,CM,2MASS J04293391-5138518,4.03408,12.765800476074219,0.05298079922795296,14.16359,0.02838,12.90887,0.02415,15.89111,0.04214,null,null,null,null,04:29:33.898,-51:38:51.36,67.39124015512799,-51.6476006519362,null,null,67.391331,-51.647743,null,null,67.39124127356038,-51.647605718354015,67.39124015512799,-51.6476006519362,0.629789,2,8.454693952845215,0.001,0.014,null,null,null,null,null,null,10.069,9.875,null,null,0.023,0.02,null,null,67.3912497,-51.6476528,null,null,null,null,null,null,67.391416084603,-51.6480381475648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(M4.1),4.05077,1.16083,M,E,null,null,null,(M4.1),(M4.1),-5.302249908447266,36.61410140991211,0.0592229999601841,0.07271040230989456,12.1845,3.50066,3.493194580078125,3.493194580078125,21,0.4,0.14,0,0.21,0.4000000059604645,0.2523885841577595,3141,296,0.2974,0.1954,0.5437,0.1291,null,null,1.5769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3411,gaiadr3,null,Gaia,DR3,null,null,null,20.7,5.7,4.8,6.5,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,-10.4957,-56.6182,-53.1159,0.0435,0.2347,0.2202,-14.008,-3.744,-11.468,0.474,2.539,2.382,Gaia EDR3 4781262017448757120,04293391-5138518,J042933.89-513851.5,4781262017448757120,4781262017448757120,Gaia EDR3 4781262017448757120|Gaia DR2 4781262017448757120,2MASS J04293391-5138518,3
3436,OCT,HM,CD-43 1451,41.9347,7.730869770050049,0.5088419914245605,11.17376,0.03527,9.99334,0.02502,11.01744,0.04312,null,null,null,null,04:30:27.315,-42:48:46.07,67.61381323807572,-42.81279816259093,null,null,67.613808,-42.812969,null,null,67.61381518830716,-42.812817860680525,67.61381323807572,-42.81279816259093,4.85307,2,0.49268529561756375,0.001,0.013,null,null,null,null,null,null,8.672,8.697,null,null,0.023,0.019,null,null,67.6137757,-42.8128964,null,null,null,null,null,null,null,null,8.369160246849059e-13,1.3571422979508786e-13,0.06,0.2,0.09700000286102295,0.013690000399947166,J043026.8-424836,null,null,null,null,null,null,null,G9V(e),-11,0.5,G,B,V,null,(e),G9,G9V(e),1.8922799825668335,21.66860008239746,0.6018350124359131,0.6690009832382202,12.6911,0.381303,0.2333452377915607,0.20110156089248554,14,0.77,0.11,-0.21,0.21,0.5599999874830246,0.2370653857380601,5120,110,1.1194,0.1238,0.9333,0.0828,19.03,1.08,2.0874,null,null,null,280,10,null,null,0,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3436,gaiadr3,Torr06,Gaia,DR3,49.7,8.9,12.2,null,null,null,null,null,null,null,null,35,5,127.457,Murp15,moving group,1,3,1,1,0,1,-36.2359,-87.2037,-89.1936,2.4092,5.7979,5.9302,-16.125,-3.868,-7.98,0.937,0.498,0.387,CD-43 1451,04302731-4248466,J043027.30-424846.4,4791763208191226624,4791763208191226624,TIC 153835701|2MASS J04302731-4248466|CD-43 1451|PPM 753190|TYC 7585-11-1|1RXS J043026.8-424836|ASAS J043027-4248.8|Gaia DR2 4791763208191226624,CD-43 1451,4
