,TIC
0,TIC 237883499
1,TIC 262874398
2,TIC 33736757
3,TIC 388128331
4,TIC 237883499
5,TIC 262874398
6,TIC 33736757
7,TIC 388128331
8,TIC 1441057
9,TIC 55781202
10,TIC 200323307
11,TIC 77954300
12,TIC 21750043
13,TIC 350824473
14,TIC 219167848
15,TIC 393126088
16,TIC 261417900
17,TIC 352291795
18,TIC 420960877
19,TIC 237883499
20,TIC 262874398
21,TIC 33736757
22,TIC 388128331
23,TIC 1441057
24,TIC 55781202
25,TIC 200323307
26,TIC 77954300
27,TIC 21750043
28,TIC 350824473
29,TIC 219167848
30,TIC 393126088
31,TIC 261417900
32,TIC 352291795
33,TIC 420960877
